CAMIS,INSPECTION DATE,DBA,BORO,STREET,ZIPCODE,CUISINE,SCORE,GRADE,INSPECTION_TYPE,n_violations,n_critical
50086844,2024-12-02,GREAT EAST CHINESE CUISINE,Queens,UNION STREET,11354.0,Chinese,94.0,C,Cycle Inspection / Re-inspection,8,6
50142319,2024-05-22,Koete Omakase,Manhattan,BROADWAY,10019.0,Chinese,87.0,C,Pre-permit (Operational) / Re-inspection,9,5
50056824,2023-02-09,HUNDRED TASTE,Queens,MAIN STREET,11355.0,Chinese,86.0,C,Cycle Inspection / Re-inspection,11,8
50039842,2024-03-27,DELUXE GREEN BO,Manhattan,BAYARD STREET,10013.0,Chinese,73.0,C,Cycle Inspection / Re-inspection,11,7
50111784,2023-10-17,NAN HAI YU CUN,Brooklyn,7 AVENUE,11220.0,Chinese,73.0,C,Pre-permit (Operational) / Re-inspection,9,7
50119301,2024-02-26,YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,SOUTH PORTLAND AVENUE,11217.0,Chinese,68.0,C,Cycle Inspection / Re-inspection,12,7
50069635,2024-11-18,PP BOY JAPAN TERIYAKI AND SUSHI,Queens,161 STREET,11432.0,Chinese,66.0,C,Cycle Inspection / Re-inspection,11,9
50089409,2023-08-31,KA LOK KITCHEN,Queens,NORTHERN BOULEVARD,11354.0,Chinese,66.0,C,Cycle Inspection / Re-inspection,9,6
50145523,2024-08-27,JIUHAO BBQ RESTAURANT,Queens,UNION STREET,11354.0,Chinese,66.0,C,Pre-permit (Operational) / Re-inspection,10,7
50092153,2026-04-16,XING WONG BBQ,Manhattan,EAST BROADWAY,10002.0,Chinese,65.0,C,Cycle Inspection / Re-inspection,11,7
50073746,2025-09-12,GOLDEN CITY SEAFOOD RESTAURANT,Brooklyn,20 AVENUE,11204.0,Chinese,64.0,C,Cycle Inspection / Re-inspection,12,7
50095254,2024-03-25,THE BEST SICHUAN,Manhattan,WEST   39 STREET,10018.0,Chinese,63.0,C,Cycle Inspection / Re-inspection,7,4
50111296,2025-10-28,BIG WONG,Manhattan,MOTT STREET,10013.0,Chinese,63.0,C,Cycle Inspection / Re-inspection,12,10
50144172,2025-11-24,YUNNAN RICE NOODLE HOUSE,Queens,MAIN STREET,11354.0,Chinese,61.0,C,Pre-permit (Operational) / Re-inspection,9,6
41686215,2024-08-20,SHUN WANG,Queens,BROADWAY,11373.0,Chinese,60.0,C,Cycle Inspection / Re-inspection,9,7
50056245,2025-06-25,MING KEE KITCHEN,Manhattan,GRAND ST STORE B,10002.0,Chinese,60.0,C,Cycle Inspection / Re-inspection,10,7
50072791,2024-02-20,MALA PROJECT,Manhattan,WEST   46 STREET,10036.0,Chinese,59.0,C,Cycle Inspection / Re-inspection,10,6
41433057,2024-08-21,NEW SHUN WEI,Manhattan,CATHERINE STREET,10038.0,Chinese,58.0,C,Cycle Inspection / Re-inspection,11,7
50077270,2024-07-05,NY GO GO FAST FOOD,Queens,ROOSEVELT AVENUE,11354.0,Chinese,58.0,C,Cycle Inspection / Re-inspection,5,5
50124605,2025-02-19,CHEF TAN,Manhattan,SAINT MARKS PLACE,10003.0,Chinese,58.0,C,Cycle Inspection / Re-inspection,10,6
50128573,2024-05-09,LAO JIE HOTPOT,Manhattan,BOWERY,10002.0,Chinese,58.0,C,Cycle Inspection / Re-inspection,9,6
50119363,2025-08-13,DA PAI DON,Queens,QUEENS BOULEVARD,11373.0,Chinese,57.0,C,Cycle Inspection / Re-inspection,8,6
40949905,2025-01-21,KA WAH BAKERY,Manhattan,ELDRIDGE STREET,10002.0,Chinese,56.0,C,Cycle Inspection / Re-inspection,8,5
50085185,2024-03-14,DUN HUANG GRAND CENTRAL,Manhattan,LEXINGTON AVENUE,10016.0,Chinese,56.0,C,Cycle Inspection / Re-inspection,9,6
50110747,2025-07-15,CHEF'S GARDEN,Queens,164 STREET,11432.0,Chinese,56.0,C,Cycle Inspection / Re-inspection,5,4
41385076,2023-12-21,TEN TAN,Bronx,DEKALB AVENUE,10467.0,Chinese,55.0,C,Cycle Inspection / Re-inspection,9,6
50033403,2026-06-15,GUIZ HOU MIAO JIA NOODLES,Queens,ROOSEVELT AVENUE,11354.0,Chinese,55.0,C,Cycle Inspection / Re-inspection,5,4
50071833,2024-03-20,XUN YU SI KAO NY,Brooklyn,7 AVENUE,11220.0,Chinese,55.0,C,Cycle Inspection / Re-inspection,10,7
