name,chinese_rating,chinese_count,all_rating,all_count,lat,lng,zip,neighborhood,borough,city,state,is_flushing,place_id
Sol Delish,5,31,4.9,266,40.680575,-73.9488898,11216,Bedford-Stuyvesant,Brooklyn,,NY,FALSE,ChIJJ5PP13NbwokR1O046Gc3trA
Liu Ji Sichuan Noodle House,4.964285714,28,4.9,116,40.781256,-73.845674,11356,College Point,Queens,,NY,TRUE,ChIJQ3_acoH1wokRi4c9pAJO8pg
Mala Town,4.962765957,564,4.9,1121,40.8000597,-73.965624,10025,,Manhattan,New York,NY,FALSE,ChIJs5U-VQf3wokRs1nlqkUqxgo
Twilight Lounge 朝暮,4.954545455,22,4.9,122,40.726696,-73.9857509,10009,,Manhattan,New York,NY,FALSE,ChIJVZrUE55ZwokRE1ou0h6DhRQ
Kungfu Hot Pot,4.94921875,256,4.9,572,,,,,,,,,ChIJ3ZhiHm2LwokRWKyuhMdcwuA
Chang Lai,4.933110368,299,4.9,1153,40.7151801,-73.9978715,10013,,Manhattan,New York,NY,FALSE,ChIJOy-j4IdZwokRNqJruSGwcwI
The Best Sichuan 一品成都21,4.918395574,723,4.9,2844,40.7394389,-73.9891381,10010,,Manhattan,New York,NY,FALSE,ChIJX68xNnhZwokRbktHVFdiUKo
DONGBEI Restaurant & Bar东北餐厅&酒吧,4.905236908,401,4.9,761,40.75466,-73.9949697,10018,,Manhattan,New York,NY,FALSE,ChIJ04zZeXFZwokRunHmQy_LRno
Niukee Shumai,4.902439024,164,4.9,386,40.7207546,-73.997103,10013,,Manhattan,New York,NY,FALSE,ChIJucKm6spZwokRQ31QSpsACbM
ChiChicken 吃鸡,4.901719902,407,4.9,649,40.7485243,-73.9398664,11101,Long Island City,Queens,,NY,FALSE,ChIJoSrPE3dZwokReX5_-Up2Ek0
Grand Street Skewer Cart,4.876923077,65,4.9,282,40.7183814,-73.9941524,10002,,Manhattan,New York,NY,FALSE,ChIJ2Yua64dZwokRcRfpZvPnxg8
Lion Dance,4.846153846,26,4.9,196,40.6162059,-74.1031536,10301,Sunnyside,Staten Island,,NY,FALSE,ChIJFXjOXCRPwokRpqPpACWcr1E
Mama's Noodle House,4.95,20,4.8,108,40.6168878,-73.9929107,11204,Bensonhurst,Brooklyn,,NY,FALSE,ChIJ077xDwBFwokR6Lm73BYnSG8
